Library Name,Legal Service Area (Population Assignment),Start of Local Fiscal Year (LFY),End of Local Fiscal Year (LFY),Mail City,Library Phone,Total Staff Expenditures,Print Material Expenditures,Electronic Material Expenditures,City/Library District Capital Revenue,Total Capital Revenue,Electronically Searchable  Catalog,1% of Collection Published in Last Five Years?,Books in Print,Physical Audio Items,E-books,E-Audio,Total Collection Items,Annual Library Visits,Registered Library Users,Annual Circulation: All Other Ages Physical Items,Annual Circulation: All Other Ages Digital Items,Total Annual Circulation,Public Internet Computers Available,Number of Public Internet Computers,Annual Number of Computer Uses,Annual Website Visits,Annual Number of Public Service Hours,Annual Number Public Service Weeks
Abilene Public Library,"1,23,420",10-01-2019,09/30/2020,Abilene,3256772474,"$1,768,886","$123,508","$153,153","$2,873,740","$2,894,831",Yes,Yes,"1,61,225","9,177","1,27,364","34,333","3,61,916","2,99,266","58,490","2,11,866","2,09,929","6,53,205",Yes,70,"42,500","1,56,691","2,646",44
Abilene Public Library South Branch,,,,Abilene,3256987565,,,,,,,,,,,,,,,,,,,,,,2624,44
Abilene Public Library Mockingbird Branch,,,,Abilene,3254377323,,,,,,,,,,,,,,,,,,,,,,1455,24
Sergeant Fernando de la Rosa Memorial Library,"30,358",10-01-2019,09/30/2020,Alamo,9567876160,"$231,180","$6,000",$250,"$291,554","$297,804",Yes,Yes,"27,995",1,"91,098","39,374","1,59,379","18,850","32,827","3,042","1,117","8,800",Yes,22,"6,864",0,"1,305",29
Shackelford County Library,"3,265",01-01-2020,12/31/2020,Albany,3257622672,"$10,123",$867,"$1,500",$0,"$27,684",Yes,Yes,"11,315",655,"9,073","20,272","42,329","1,304","1,038","1,574",261,"2,089",Yes,10,304,0,790,36
Alicia Salinas Public Library,"39,943",10-01-2019,09/30/2020,Alice,3616649506,"$346,454","$67,678",$0,"$256,859","$471,867",Yes,Yes,"79,395","1,418",187,0,"82,849","11,939","13,270","3,639",0,"7,936",Yes,10,"3,177",0,"1,780",47
Orange Grove School/Public Library,,,,Orange Grove,3613842330,,,,,,,,,,,,,,,,,,,,,,1600,48
Premont Public Library,,,,Premont,3613483815,,,,,,,,,,,,,,,,,,,,,,1091,50
Allen Public Library,"1,05,623",10-01-2019,09/30/2020,Allen,2145094900,"$2,496,836","$198,892","$81,901","$3,129,189","$3,153,969",Yes,Yes,"1,18,974","6,333","6,165","2,095","1,51,512","1,96,338","49,534","2,95,940","80,907","10,40,531",Yes,22,"11,270",0,"2,034",39
Alpine Public Library,"8,076",01-01-2020,12/31/2020,Alpine,4328372621,"$143,047","$5,736",$0,"$40,000","$199,524",Yes,Yes,"21,656",832,"6,295",125,"31,079","13,865","9,241","5,914",22,"9,721",Yes,15,"1,871","57,432","1,683",44
Amarillo Public Library,"2,01,224",10-01-2019,09/30/2020,Amarillo,8063783050,"$3,081,607","$158,656","$81,346","$3,801,639","$3,848,520",Yes,Yes,"3,40,728","17,047","5,718","1,464","4,12,428","6,10,202","79,381","5,68,952","31,313","8,64,123",Yes,64,"35,994","2,42,983","2,692",45
Northwest Branch Library,,,,Amarillo,8063592035,,,,,,,,,,,,,,,,,,,,,,3226,52
Southwest Branch Library,,,,Amarillo,8063592094,,,,,,,,,,,,,,,,,,,,,,3533,52
North Branch Library,,,,Amarillo,8063817931,,,,,,,,,,,,,,,,,,,,,,3226,52
East Branch Library,,,,Amarillo,8063421589,,,,,,,,,,,,,,,,,,,,,,3226,52
Chambers County Library System,"39,657",01-01-2020,12/31/2020,Anahuac,4092672550,"$1,101,710","$61,675","$49,173",$0,"$1,280,603",Yes,Yes,"93,504","2,439","5,20,429","4,17,779","10,57,016","23,856","15,076","23,140","15,869","57,888",Yes,49,"2,736","91,729",735,14
Chambers County Library,,,,Anahuac,4092672554,,,,,,,,,,,,,,,,,,,,,,2369,52
Sam and Carmena Goss Memorial Branch Library,,,,Mont Belvieu,2815762245,,,,,,,,,,,,,,,,,,,,,,2571,52
Juanita Hargraves Memorial Branch Library,,,,Winnie,4092968245,,,,,,,,,,,,,,,,,,,,,,2366,52
Andrews County Library,"18,705",10-01-2019,09/30/2020,Andrews,4325239819,"$482,890","$31,246","$13,277",$0,"$659,216",Yes,Yes,"54,907","3,610","17,922","2,221","81,270","27,286","7,495","9,787","4,424","32,973",Yes,28,"5,132",0,"2,209",45
Brazoria County Library System,"3,74,264",10-01-2019,09/30/2020,Angleton,9798641505,"$6,078,396","$597,655","$492,937","$799,343","$8,641,767",Yes,Yes,"3,64,540","16,695","4,73,455","1,25,979","10,55,662","3,89,489","1,25,568","4,70,500","3,17,854","14,60,091",Yes,146,"53,683","5,56,413",0,0
Alvin Library,,,,Alvin,2813884300,,,,,,,,,,,,,,,,,,,,,,2485,52
Angleton Library,,,,Angleton,9798641519,,,,,,,,,,,,,,,,,,,,,,2817,52
Brazoria Library,,,,Brazoria,9797982372,,,,,,,,,,,,,,,,,,,,,,2478,52
Clute Library,,,,Clute,9792654582,,,,,,,,,,,,,,,,,,,,,,1634,44
Freeport Library,,,,Freeport,9792333622,,,,,,,,,,,,,,,,,,,,,,2091,52
Lake Jackson Library,,,,Lake Jackson,9794152590,,,,,,,,,,,,,,,,,,,,,,2562,52
Manvel Library,,,,Manvel,2814897596,,,,,,,,,,,,,,,,,,,,,,2493,52
Pearland Library,,,,Pearland,2814854876,,,,,,,,,,,,,,,,,,,,,,2728,52
Sweeny Library,,,,Sweeny,9795482567,,,,,,,,,,,,,,,,,,,,,,2135,52
West Columbia Branch Library,,,,West Columbia,9793453394,,,,,,,,,,,,,,,,,,,,,,2083,52
Danbury Library,,,,Danbury,9799221905,,,,,,,,,,,,,,,,,,,,,,1804,52
Pearland Westside Library,,,,Pearland,7134360995,,,,,,,,,,,,,,,,,,,,,,2625,52
Juvenile Justice Center,,,,Angelton,9798641505,,,,,,,,,,,,,,,,,,,,,,1368,52
Anson Public Library,"2,297",01-01-2020,12/31/2020,Anson,3258232711,"$10,604","$3,000",$0,"$7,500","$12,647",Yes,Yes,"17,842",12,0,0,"17,866","1,524","3,715",724,0,"1,054",Yes,5,"1,200",0,"1,309",51
Ed & Hazel Richmond Public Library,"12,018",10-01-2019,09/30/2020,Aransas Pass,3617582350,"$136,937","$7,425","$4,000","$185,817","$188,242",Yes,Yes,"22,211",462,"20,830","3,223","47,717","16,120","7,371","8,057","1,967","11,245",Yes,19,"3,109",0,"1,013",21
Archer Public Library,"8,553",10-01-2019,09/30/2020,Archer City,9405744954,"$49,293","$2,491","$4,000","$8,527","$78,758",Yes,Yes,"25,316",801,"9,976",598,"39,880","7,350","2,883","5,951",64,"10,434",Yes,6,"1,426",671,"1,247",35
Arlington Public Library System,"3,98,854",10-01-2019,09/30/2020,Arlington,8174596900,"$5,267,497","$338,680","$248,349","$8,857,666","$9,692,634",Yes,Yes,"4,28,073","29,779","32,718","19,559","5,49,570","5,57,734","1,57,219","7,52,312","2,16,824","15,47,584",Yes,258,"96,746","9,34,662","3,080",44
