Library Name,Legal Service Area (Population Assignment),Start of Local Fiscal Year (LFY),End of Local Fiscal Year (LFY),Mail City,Library Phone,Total Staff Expenditures,Print Material Expenditures,Electronic Material Expenditures,City/Library District Capital Revenue,Total Capital Revenue,Electronically Searchable  Catalog,1% of Collection Published in Last Five Years?,Books in Print,Physical Audio Items,E-books,E-Audio,Total Collection Items,Annual Library Visits,Registered Library Users,Annual Circulation: All Other Ages Physical Items,Annual Circulation: All Other Ages Digital Items,Total Annual Circulation,Public Internet Computers Available,Number of Public Internet Computers,Annual Number of Computer Uses,Annual Website Visits,Annual Number of Public Service Hours,Annual Number Public Service Weeks
Abilene Public Library,"1,25,182",10/01/2020,09/30/2021,Abilene,3256772474,"$17,77,212","$2,06,317","$2,48,396",$0,$0,Yes,Yes,"1,50,377","8,467","32,317","37,228","2,57,340","2,56,391","57,451","1,69,771","2,17,481","5,70,191",Yes,70,"30,480","1,13,561","3,159",52
Sergeant Fernando de la Rosa Memorial Library,"30,115",10/01/2020,09/30/2021,Alamo,9567876160,"$2,30,859","$7,000","$1,000",$0,$0,Yes,Yes,"28,094",1,"95,105","44,473","1,68,584","17,500","32,700","1,816","1,117","7,108",Yes,22,"7,025",-1,"1,305",29
Shackelford County Library,"3,300",01/01/2021,12/31/2021,Albany,3257622672,"$11,591","$1,635","$1,500",$0,$0,Yes,Yes,"9,765",572,"42,390","1,721","55,526","1,625","1,063","1,192","1,276","2,928",Yes,9,273,-1,"1,352",51
East Parker County Library,"17,273",10/01/2020,09/30/2021,Aledo,8174416545,"$40,705","$1,563","$4,020",$0,$0,Yes,Yes,"22,084","1,063","18,169","9,342","53,113","17,728","5,867","15,858","3,960","51,684",Yes,6,558,-1,"1,715",49
Alicia Salinas Public Library,"25,387",10/01/2020,09/30/2021,Alice,3616649506,"$5,63,923","$62,900",$0,$0,$0,Yes,Yes,"44,311","1,179",187,0,"47,108","13,771","13,661","7,372",-1,"9,109",Yes,13,"2,820",-1,"1,780",47
Allen Public Library,"1,04,627",10/01/2020,09/30/2021,Allen,2145094900,"$25,08,114","$1,92,422","$91,753",$0,$0,Yes,Yes,"1,19,822","6,938","13,521","5,028","1,60,845","1,54,775","46,735","3,02,986","80,586","11,50,399",Yes,19,"6,979","97,728","2,507",51
Alpine Public Library,"8,127",01/01/2021,12/31/2021,Alpine,4328372621,"$1,52,740","$3,802",$0,$0,"$3,594",Yes,Yes,"23,177",850,0,0,"26,141","24,555","3,284","23,761",0,"26,365",Yes,10,"2,037","1,42,182","1,220",42
Alvarado Public Library,"4,739",10/01/2020,09/30/2021,Alvarado,8177837323,"$1,10,792",$780,"$1,500",$0,$0,Yes,Yes,"22,907","1,189",687,140,"29,351","8,135","1,866","4,648",267,"9,674",Yes,7,958,-1,"1,333",34
Alvord Public Library,"5,860",10/01/2020,09/30/2021,Alvord,9404272842,"$17,770","$3,175","$1,000",$0,$0,Yes,Yes,"15,065",491,"10,328",809,"28,061","1,520","2,644",798,245,"2,146",Yes,5,285,837,"1,309",50
Amarillo Public Library,"2,00,393",10/01/2020,09/30/2021,Amarillo,8063783050,"$30,68,506","$2,59,279","$74,690","$65,000","$65,000",Yes,Yes,"3,39,703","16,919","5,982","1,941","4,13,168","3,57,087","83,099","3,30,832","9,402","6,02,770",Yes,64,"19,520","2,09,275","2,641",38
