Library Name,Legal Service Area (Population Assignment),Start of Local Fiscal Year (LFY),End of Local Fiscal Year (LFY),Mail City,Library Phone,Total Staff Expenditures,Print Material Expenditures,Electronic Material Expenditures,City/Library District Capital Revenue,Total Capital Revenue,Electronically Searchable  Catalog,1% of Collection Published in Last Five Years?,Books in Print,Physical Audio Items,E-books,E-Audio,Total Collection Items,Annual Library Visits,Registered Library Users,Annual Circulation: All Other Ages Physical Items,Annual Circulation: All Other Ages Digital Items,Total Annual Circulation,Public Internet Computers Available,Number of Public Internet Computers,Annual Number of Computer Uses,Annual Website Visits,Annual Number of Public Service Hours,Annual Number Public Service Weeks
Chambers County Library System,"41,401",01/01/2021,12/31/2021,Anahuac,4092672550,"$11,70,990","$52,539","$35,062",$0,$0,Yes,Yes,"90,972","2,720","6,70,190","4,64,965","12,57,033","28,983","16,118","26,766","16,875","73,122",Yes,63,"2,160","53,810","1,382",24
Andrews County Library,"18,879",10/01/2020,09/30/2021,Andrews,4325239819,"$4,79,419","$31,641","$9,174",$0,$0,Yes,Yes,"49,774","3,484","18,496","3,941","78,124","23,727","5,657","9,684","3,310","32,688",Yes,28,"4,256",-1,"2,585",51
Brazoria County Library System,"3,80,518",10/01/2020,09/30/2021,Angleton,9798641505,"$60,49,126","$5,69,600","$5,93,057","$1,05,477","$1,44,344",Yes,Yes,"3,13,811","14,062","6,42,203","4,56,872","15,25,183","3,84,678","1,23,067","4,79,088","2,70,998","15,10,866",Yes,177,"46,632","5,47,832",0,0
Anson Public Library,"2,294",01/01/2021,12/31/2021,Anson,3258232711,"$10,078","$2,050",$0,$0,$0,Yes,Yes,"17,959",5,0,0,"17,976","1,695","3,751",517,0,933,Yes,5,"1,050",-1,"1,350",50
Ed & Hazel Richmond Public Library,"11,044",10/01/2020,09/30/2021,Aransas Pass,3617582350,"$1,45,542","$7,012","$4,000",$0,$0,Yes,Yes,"22,424",460,"21,938","4,008","49,831","12,725","7,449","6,745","2,011","11,610",Yes,19,993,-1,"1,290",29
Archer Public Library,"8,730",10/01/2020,09/30/2021,Archer City,9405744954,"$49,457","$4,015","$2,104",$0,$0,Yes,Yes,"25,452",805,"10,317",808,"40,609","12,268","2,934","5,907",478,"12,102",Yes,6,"1,896",877,"1,848",51
Arlington Public Library System,"3,94,266",10/01/2020,09/30/2021,Arlington,8174596900,"$48,05,900","$4,19,089","$3,80,600","$4,78,347","$4,78,347",Yes,Yes,"3,93,581","26,600","30,790","14,721","5,03,663","5,61,298","1,67,903","7,48,760","1,97,978","16,57,326",Yes,434,"77,157","14,34,761","3,640",52
Stonewall County Library,"1,348",10/01/2020,09/30/2021,Aspermont,9409892730,"$25,417","$3,957","$1,500",$0,$0,Yes,Yes,"15,645",579,"16,530","3,219","36,164","1,498",920,"1,016","2,605","3,750",Yes,4,178,-1,"1,096",48
Henderson County Clint W Murchison Memorial Library,"23,612",01/01/2021,12/31/2021,Athens,9036777295,"$2,55,597","$18,620","$7,091",$0,$0,Yes,Yes,"37,984","1,704","35,183","6,999","82,592","22,824","12,724","19,709","10,648","43,409",Yes,8,"2,248","7,641","2,154",52
Atlanta Public Library,"5,433",10/01/2020,09/30/2021,Atlanta,9037962112,"$1,50,097","$28,334","$4,250",$0,$0,Yes,Yes,"22,575","1,995","34,883","6,767","67,241","28,497","1,391","21,809","4,125","33,805",Yes,4,"3,338",-1,"2,012",49
Aubrey Area Library,"21,914",10/01/2020,09/30/2021,Aubrey,9403659162,"$2,07,571","$18,040","$6,244",$0,$0,Yes,Yes,"17,022",416,"18,169","9,342","46,341","14,205","4,697","16,663","8,934","50,241",Yes,9,"1,389",-1,"1,336",35
Austin Public Library,"9,61,855",10/01/2020,09/30/2021,Austin,5129747400,"$3,34,11,358","$24,02,507","$40,45,975","$5,00,000","$5,00,000",Yes,Yes,"8,52,112","81,255","2,35,269","1,17,141","14,19,607","5,27,375","4,08,825","12,46,722","22,03,201","56,07,875",Yes,771,"48,701","1,82,44,121","1,038",52
Lake Travis Community Library,"32,086",07/01/2020,06/30/2021,Austin-Lakeway,5122632885,"$5,86,062","$46,392","$91,344",$0,$0,Yes,Yes,"42,995","2,979","28,577","6,750","87,528","20,690","26,676","1,10,132","59,880","2,58,543",Yes,6,196,"2,41,352",226,9
Wells Branch Community Library,"12,120",01/01/2021,12/31/2021,Austin-Wells Branch,5129893188,"$6,00,406","$49,490","$42,709","$2,16,141","$2,16,141",Yes,Yes,"43,515","2,309","28,715","12,367","94,942","19,939","5,757","30,606","20,352","98,717",Yes,15,521,"33,855","1,142",27
Westbank Community Library District,"25,571",01/01/2021,12/31/2021,Austin-WestLakeHills,5123143580,"$16,74,052","$1,03,146","$3,65,753",$0,$0,Yes,Yes,"69,388","3,561","1,66,590","67,678","3,44,519","71,050","23,898","85,388","1,29,618","4,34,029",Yes,12,"2,063","1,19,201","1,250",25
Azle Memorial Library,"19,778",10/01/2020,09/30/2021,Azle,8177522682,"$5,40,028","$37,731","$8,690",$0,$0,Yes,Yes,"47,323","2,109","27,570","9,856","94,641","51,278","16,020","74,504","23,439","1,61,927",Yes,18,"4,118",-1,"2,414",52
Balch Springs Library - Learning Center,"27,685",10/01/2020,09/30/2021,Balch Springs,9729133000,"$3,02,615","$22,641","$3,750",$0,$0,Yes,Yes,"24,741",645,"35,330","7,102","71,133","23,996","6,493","3,590","1,259","15,520",Yes,26,"3,875","11,233","1,276",52
Carnegie Library of Ballinger,"5,338",01/01/2021,12/31/2021,Ballinger,3253653616,"$34,510","$4,747",$0,$0,"$3,500",Yes,Yes,"13,191",733,0,0,"15,690","4,514",860,"9,567",0,"14,961",Yes,5,494,"1,228","1,844",52
Bandera County Library,"6,903",10/01/2020,09/30/2021,Bandera,8307964213,"$78,894","$21,331","$2,425",$0,$0,Yes,Yes,"23,133","1,406","14,852","3,544","46,349","11,920","8,834","17,121","5,336","26,194",Yes,13,"3,667",-1,"2,348",49
Bastrop Public Library,"9,688",10/01/2020,09/30/2021,Bastrop,5123328880,"$5,22,016","$44,024","$4,110",$0,$0,Yes,Yes,"41,209","3,515","23,250","6,359","80,569","51,643","5,842","37,203","14,087","82,847",Yes,31,"4,468","43,770","2,308",52
Bay City Public Library,"29,537",10/01/2020,09/30/2021,Bay City,9792456931,"$3,14,279","$31,434","$8,565",$0,$0,Yes,Yes,"37,547",791,"19,794","2,962","64,600",-1,"13,297","14,082","4,850","29,089",Yes,23,"3,156",-1,"2,351",49
Sterling Municipal Library,"83,701",10/01/2020,09/30/2021,Baytown,2814277331,"$19,49,214","$75,948","$67,000","$40,000","$40,000",Yes,Yes,"1,13,053","5,585","62,577","18,661","2,05,884","1,15,172","32,212","1,09,479","43,434","2,15,987",Yes,50,"34,468","91,146","3,050",52
Beaumont Public Library System,"1,15,282",10/01/2020,09/30/2021,Beaumont,4099815911,"$18,45,400","$1,19,399","$60,000",$0,$0,Yes,Yes,"3,07,036","13,568","14,918","4,900","3,65,786","1,80,548","91,289","1,24,722","19,946","2,63,225",Yes,54,"42,480","26,058","1,760",44
Bedford Public Library,"49,928",10/01/2020,09/30/2021,Bedford,8179522332,"$11,23,688","$1,06,271","$55,924",$0,$0,Yes,Yes,"78,921","2,240","19,166","9,888","1,22,601","1,07,035","33,476","1,83,754","49,367","4,05,965",Yes,24,"11,009","8,19,533","2,605",52
Bedias Public Library,"1,336",10/01/2020,09/30/2021,Bedias,9363952658,$0,$0,$0,$0,"$7,045",Yes,Yes,"12,158",588,0,0,"14,484",243,"1,068","1,126",0,"2,979",Yes,5,2,-1,36,6
Bee Cave Public Library,"9,144",10/01/2020,09/30/2021,Bee Cave,5127676620,"$7,08,814","$37,261","$57,223",$0,$0,Yes,Yes,"25,807","1,618","25,546","7,835","63,652","12,501","6,055","9,532","19,308","70,648",Yes,4,306,-1,627,20
Joe Barnhart Bee County Library,"25,271",10/01/2020,09/30/2021,Beeville,3613624901,"$2,92,176","$22,879","$11,487",$0,$0,Yes,Yes,"41,474","1,616","21,935","3,987","71,567","42,305","17,788","35,140","1,284","39,190",Yes,26,"6,345","13,500","2,288",52
Bellaire City Library,"17,202",10/01/2020,09/30/2021,Bellaire,7136628160,"$6,76,118","$48,926","$7,954",$0,$0,Yes,Yes,"81,738","2,247","51,811","19,632","1,58,940","22,846","11,942","49,276","28,512","1,37,388",Yes,19,"2,581","27,006","1,024",25
Bellville Public Library,"4,206",10/01/2020,09/30/2021,Bellville,9798653731,"$2,57,158","$11,852","$1,500",$0,$0,Yes,Yes,"27,034",441,"16,544","1,881","48,278","23,301","3,146","27,469","2,442","44,150",Yes,9,"2,363",-1,"1,971",52
Lena Armstrong Public Library,"23,054",10/01/2020,09/30/2021,Belton,2549335830,"$2,61,454","$34,040","$10,283",$0,$0,Yes,Yes,"29,894",982,596,126,"33,106","35,513","6,840","26,110","1,144","66,202",Yes,13,"2,243","8,340","2,198",52
Benbrook Public Library,"24,520",10/01/2020,09/30/2021,Benbrook,8172496632,"$9,49,519","$66,891","$14,816","$47,897","$47,897",Yes,Yes,"44,198","1,150","5,81,103","1,47,217","8,02,393","60,781","15,271","34,646","29,575","1,38,706",Yes,22,"7,275",-1,"2,520",52
Reagan County Library,"3,833",10/01/2020,09/30/2021,Big Lake,3258842854,"$1,69,777","$11,741","$6,000",$0,$0,Yes,Yes,"14,391",493,"16,080","3,212","34,804","7,514","2,485","2,116",-1,"3,084",Yes,15,646,-1,"2,214",39
Howard County Library,"36,540",10/01/2020,09/30/2021,Big Spring,4322642260,"$3,38,102","$21,684","$8,253",$0,"$26,944",Yes,Yes,"49,274","2,310","18,701","3,561","76,507","41,163","14,176","16,129","3,598","32,152",Yes,19,"3,895","10,996","2,133",50
Blanco County South Library District,"6,738",07/01/2020,06/30/2021,Blanco,8308334280,"$1,36,401","$21,751","$5,500",$0,$0,Yes,Yes,"20,859",987,"26,520","6,106","57,028","5,140","2,442","9,432","4,702","16,842",Yes,28,337,"13,146",620,3
Patrick Heath Public Library,"27,939",10/01/2020,09/30/2021,Boerne,8302493053,"$10,34,686","$51,891","$32,315",$0,$0,Yes,Yes,"38,848","2,050","1,60,078","63,052","2,68,895","94,647","19,905","88,720","39,944","2,62,997",Yes,44,"5,233","40,897","2,685",52
Bonham Public Library,"10,408",01/01/2021,12/31/2021,Bonham,9035833128,"$2,44,795","$32,500","$12,250",$0,$0,Yes,Yes,"31,123","1,015","5,13,893","91,120","6,53,921","31,000","18,146","13,526","6,656","33,695",Yes,9,"5,015","68,150","2,250",44
Booker School/Public Library,"1,620",10/01/2020,09/30/2021,Booker,8066584521,"$48,510",$283,"$3,203",$0,$426,Yes,Yes,"22,547",151,"6,160","2,048","31,105","4,900","1,309","4,010",140,"19,104",Yes,4,15,-1,"1,580",49
Hutchinson County Library,"20,677",10/01/2020,09/30/2021,Borger,8062730126,"$4,58,851","$31,082","$2,869",$0,"$41,101",Yes,Yes,"42,389","1,941","5,982","1,941","54,038","44,605","6,838","10,165","1,120","20,821",Yes,14,"1,729","6,924","2,451",51
Bowie Public Library,"19,962",10/01/2020,09/30/2021,Bowie,9408722681,"$1,65,414","$11,225","$1,865",$0,"$3,072",Yes,Yes,"24,219","1,011","10,377",791,"38,719","21,283","5,511","13,719","21,520","43,838",Yes,13,"2,005",-1,"1,960",51
McCulloch County Library,"7,823",10/01/2020,09/30/2021,Brady,3255972617,"$1,14,458","$3,517","$2,870",$0,$0,Yes,Yes,"17,399",799,"16,530","3,219","39,200","9,753","6,942","10,646","4,004","23,851",Yes,12,"1,377",-1,"1,838",49
Breckenridge Library,"9,334",01/01/2021,12/31/2021,Breckenridge,2545595505,"$51,473","$3,764","$1,500",$0,$0,Yes,Yes,"27,094","1,445","28,367","1,721","59,154","4,303","3,476","2,121","1,398","4,709",Yes,6,630,-1,948,46
Nancy Carol Roberts Memorial Library,"17,369",10/01/2020,09/30/2021,Brenham,9793377201,"$3,08,963","$39,383","$18,950",$0,$0,Yes,Yes,"36,690","1,452","23,250","6,359","70,754","45,027","32,104","29,123","12,450","63,025",Yes,26,"7,059","15,354","2,085",51
Bridge City Public Library,"9,546",10/01/2020,09/30/2021,Bridge City,4097354242,"$1,19,407","$16,060","$1,500",$0,$0,Yes,Yes,"17,411",355,"19,794","2,962","42,262","7,424","3,935","3,844","3,459","14,263",Yes,16,758,"5,880","1,267",38
Bridgeport Public Library,"25,691",10/01/2020,09/30/2021,Bridgeport,9406833450,"$1,90,954","$12,458","$3,000",$0,$0,Yes,Yes,"43,771","1,438","22,055","7,913","76,426","20,298","8,332","8,840","1,918","21,367",Yes,4,979,-1,"1,656",46
Kendrick Memorial Library,"12,183",01/01/2021,12/31/2021,Brownfield,8066373848,"$1,40,099","$7,567","$3,000",$0,$0,Yes,Yes,"38,900","1,235","18,973","3,562","63,890","7,475","4,072","4,447","1,781","7,700",Yes,4,811,-1,"1,952",49
Brownsville Public Library,"2,56,404",10/01/2020,09/30/2021,Brownsville,9565481055,"$17,95,233","$3,15,210","$5,13,886",$0,$0,Yes,Yes,"2,46,407","2,660","35,942","20,342","3,34,312","4,61,079","1,24,479","41,891","43,182","1,14,235",Yes,289,"15,734","42,246","1,733",26
Brownwood Public Library,"37,633",10/01/2020,09/30/2021,Brownwood,3256460155,"$1,88,945","$15,663","$5,690",$0,$0,Yes,Yes,"42,700","1,395","16,530","3,219","66,586","39,536","8,076","34,537","9,301","70,009",Yes,15,"7,304","15,847","2,540",52
Bryan+College Station Public Library System,"2,04,491",10/01/2020,09/30/2021,Bryan,9792095600,"$24,42,407","$1,39,137","$53,533",$0,$0,Yes,Yes,"1,66,316","7,089","16,634","4,597","2,04,867","1,60,990","38,285","1,72,447","55,806","5,16,266",Yes,48,"13,190","1,57,454","2,056",52
Buda Public Library,"19,950",10/01/2020,09/30/2021,Buda,5122955899,"$5,86,590","$37,386","$23,957",$0,$0,Yes,Yes,"41,034","3,642","23,122","7,337","77,180","37,624","11,976","43,589","22,021","1,47,058",Yes,26,"3,362","43,889","2,221",52
Bullard Community Library,"3,318",01/01/2021,12/31/2021,Bullard,9038946125,"$27,575","$1,235",$0,$0,$0,Yes,Yes,"24,365",876,"28,950","6,127","63,692","7,961","1,963","3,296","2,463","15,244",Yes,5,434,"7,937","1,522",50
Mammen Family Public Library,"35,706",07/01/2020,06/30/2021,Bulverde,8304384864,"$7,37,384","$60,584","$33,062","$87,255","$87,255",Yes,Yes,"48,458","4,444","20,651","5,601","95,506","65,884","15,525","83,864","45,061","2,32,608",Yes,8,"4,130","72,417","2,488",52
Buna Public Library,"9,432",01/01/2021,12/31/2021,Buna,4099945501,"$16,190","$2,064",$0,$0,$0,Yes,Yes,"19,261",573,0,0,"21,554","17,561","2,688","3,025",0,"4,445",Yes,6,"1,190",-1,"1,576",45
Burkburnett Library,"10,939",10/01/2020,09/30/2021,Burkburnett,9405692991,"$1,03,975","$23,870","$3,000",$0,$0,Yes,Yes,"29,645","1,505","8,331",0,"41,313","18,319","11,173","28,962","20,444","83,504",Yes,10,"2,285","5,954","1,958",50
Burleson Public Library,"47,641",10/01/2020,09/30/2021,Burleson,8174269210,"$6,85,329","$67,483","$93,416",$0,$0,Yes,Yes,"48,968","2,535","25,678","17,267","1,00,441","1,04,407","16,740","1,37,095","47,433","2,51,974",Yes,20,"10,007","7,57,014","2,680",52
Burnet County Library System,"49,653",10/01/2020,09/30/2021,Burnet,5127155228,"$8,14,968","$91,732","$55,339",$0,"$2,714",Yes,Yes,"79,075","8,989","24,414","16,912","1,38,639","98,576","15,662","97,654","30,324","2,02,371",Yes,33,"8,040","43,305","1,968",52
Harrie P Woodson Memorial Library,"3,993",10/01/2020,09/30/2021,Caldwell,9795673271,"$1,07,763","$4,326",$0,$0,$0,Yes,Yes,"20,154",220,0,0,"22,473","9,098","1,155","4,750",0,"11,343",Yes,6,"1,163",-1,"2,232",52
Cameron Public Library,"5,306",10/01/2020,09/30/2021,Cameron,2546972401,"$46,109","$8,419",$0,$0,$0,Yes,Yes,"21,443",143,0,0,"21,911","3,972","3,638","3,416",0,"4,869",Yes,7,597,-1,"1,428",50
Camp Wood Public Library,"1,706",09/01/2020,08/31/2021,Camp Wood,8305973208,$1,"$3,573","$1,500",$0,"$40,800",Yes,Yes,"6,946",173,"17,045","4,539","30,511","1,614",883,"1,037","1,741","3,193",Yes,7,231,-1,378,19
Hemphill County Library,"3,777",10/01/2020,09/30/2021,Canadian,8063235282,"$1,92,222","$15,325","$1,984",$0,$0,Yes,Yes,"38,285","3,590","5,982","1,941","52,851","16,073","2,132","8,099",226,"17,294",Yes,8,226,"5,611","2,356",52
Van Zandt County Library,"21,004",10/01/2020,09/30/2021,Canton,9035674276,"$1,25,971","$9,922","$3,000",$0,$0,Yes,Yes,"38,557",864,"27,659","4,251","72,791","23,474","4,853","21,458",48,"33,461",Yes,12,"2,998",-1,"1,504",48
Canyon Area Library,"41,060",10/01/2020,09/30/2021,Canyon,8066555015,"$2,79,613","$27,627","$23,590",$0,$0,Yes,Yes,"41,560","2,861","19,414","10,205","77,525","34,311","7,923","23,112","11,042","81,492",Yes,19,"2,890","10,614","2,320",49
Tye Preston Memorial Library,"29,067",07/01/2020,06/30/2021,Canyon Lake,8309643744,"$4,81,227","$45,962","$27,545","$36,799","$36,799",Yes,Yes,"34,894","2,047","16,921","4,317","65,671","22,871","9,266","35,239","16,851","78,282",Yes,31,"2,315","59,367","1,487",40
Dimmit County Public Library,"9,925",01/01/2021,12/31/2021,Carrizo Springs,8308765788,"$73,650","$17,638","$2,168",$0,$0,Yes,Yes,"27,246",348,"60,121",0,"88,353","19,976","5,122","10,236",81,"15,370",Yes,24,"6,256",-1,"1,976",52
Carrollton Public Library,"1,65,614",10/01/2020,09/30/2021,Carrollton,9724664800,"$23,90,105","$2,12,730","$1,62,911",$0,$0,Yes,Yes,"1,42,849","7,623","1,43,633","58,444","3,61,279","1,17,755","86,668","1,32,027","79,563","4,13,227",Yes,90,"21,438","3,05,764","2,394",51
Sammy Brown Library,"23,187",01/01/2021,12/31/2021,Carthage,9036936741,"$3,74,042","$25,139","$3,500",$0,$0,Yes,Yes,"32,304","1,696","22,696","6,497","66,329","39,245","9,136","34,667","5,626","52,575",Yes,6,"15,942","2,475","2,499",51
Castroville Public Library,"2,954",10/01/2020,09/30/2021,Castroville,8309314095,"$1,36,644","$16,486","$1,500",$0,$0,Yes,Yes,"15,384","1,054","2,930","1,364","22,632","8,730","1,273","3,798","3,032","11,608",Yes,14,"1,186",-1,"2,340",35
Zula B Wylie Public Library in Cedar Hill,"49,148",10/01/2020,09/30/2021,Cedar Hill,9722917323,"$7,03,441","$44,814","$46,261",$0,$0,Yes,Yes,"55,177","3,106","5,900","5,513","79,072","43,047","23,679","75,871","14,808","1,63,909",Yes,30,"7,925","61,116","1,896",52
Cedar Park Public Library,"77,595",10/01/2020,09/30/2021,Cedar Park,5124015600,"$12,99,652","$1,29,092","$1,46,048",$0,$0,Yes,Yes,"1,12,811","8,487","39,737","16,563","1,88,134","1,40,730","29,232","2,09,829","1,09,949","6,23,026",Yes,30,"7,390","2,03,167","3,421",29
Celina Public Library,"17,988",10/01/2020,09/30/2021,Celina,9723828655,"$2,09,180","$19,265","$1,500",$0,$0,Yes,Yes,"17,958",319,"34,771","6,969","61,387","15,978","4,478","6,204","16,741","52,984",Yes,4,585,-1,"2,478",52
Fannie Brown Booth Memorial Library,"5,221",10/01/2020,09/30/2021,Center,9365985522,"$50,708","$10,575","$1,612",$0,$0,Yes,Yes,"13,406",644,"19,794","2,962","38,011","3,823","4,869","4,252","2,502","10,411",Yes,7,"3,532",-1,984,49
Chandler Public Library,"9,581",10/01/2020,09/30/2021,Chandler,9038494122,"$34,293","$10,000","$1,696",$0,$0,Yes,Yes,"17,520",512,"35,087","4,523","59,408","4,500","4,808","14,985","4,300","22,324",Yes,5,"2,453","4,784","1,788",52
Charlotte Public Library,"3,725",10/01/2020,09/30/2021,Charlotte,8302771212,"$35,832","$10,191",$0,$0,$0,Yes,Yes,"12,540",137,"11,521",125,"24,984",980,"1,452",105,1,"1,002",Yes,4,480,-1,"1,920",51
Chico Public Library Inc,"4,103",10/01/2020,09/30/2021,Chico,9406442330,"$39,386","$3,335","$1,500",$0,"$15,728",Yes,Yes,"9,625",416,"10,674",740,"23,710","8,376","2,427","4,305","22,520","31,703",Yes,4,"1,731","3,352","1,658",49
Childress Public Library,"7,143",10/01/2020,09/30/2021,Childress,9409378421,"$59,807","$3,700",$0,$0,$0,Yes,Yes,"19,273",719,"5,982","1,941","28,742","7,450","1,732","4,565",0,"10,642",Yes,4,"1,482",-1,37,50
Burton Memorial Library,"3,308",10/01/2020,09/30/2021,Clarendon,8068743685,"$56,856","$7,800",$0,$0,$0,Yes,Yes,"26,507",625,"5,730","1,565","36,573","52,110","1,267","9,515",241,"10,486",Yes,6,"9,065",-1,"1,944",52
Red River County Public Library,"11,995",10/01/2020,09/30/2021,Clarksville,9034273991,"$55,186","$14,051","$3,000",$0,$0,Yes,Yes,"25,844",729,"29,806","5,056","62,651","4,164","6,001","5,882","2,379","9,475",Yes,8,513,"7,950","1,486",52
Cleburne Public Library,"31,352",10/01/2020,09/30/2021,Cleburne,8176450934,"$4,73,924","$36,122","$38,841","$8,025","$8,025",Yes,Yes,"48,125","11,984","19,242","10,076","93,484","72,245","15,300","59,600","15,497","1,08,982",Yes,22,"11,060",-1,"2,316",52
Austin Memorial Library,"7,471",10/01/2020,09/30/2021,Cleveland,2815923920,"$2,83,805","$31,974","$14,714",$0,$0,Yes,Yes,"41,451","1,783","14,183","1,945","63,117","6,758","10,389","10,832","4,484","24,173",Yes,16,"4,186",-1,"2,577",50
Tarkington Community Library,"10,477",10/01/2020,09/30/2021,Cleveland-Tarkington,2815925136,"$5,752",$204,$0,$0,$0,Yes,Yes,"12,643",14,0,0,"13,061","1,465",594,362,0,906,Yes,3,125,239,756,49
Nellie Pederson Civic Library,"3,465",10/01/2020,09/30/2021,Clifton,2546756495,"$68,984","$11,054","$1,084",$0,$0,Yes,Yes,"10,116",552,"1,542",554,"13,864","8,653",610,"8,277","2,187","13,699",Yes,10,"1,047",-1,"1,703",47
Clyde Public Library,"11,417",10/01/2020,09/30/2021,Clyde,3258935315,"$79,018","$9,067","$1,098","$11,289","$11,289",Yes,Yes,"16,067",496,"16,530","3,219","39,149","3,925","5,280","3,923","1,883","8,536",Yes,9,648,-1,"1,527",51
Cockrell Hill Public Library,"3,815",10/01/2020,09/30/2021,Cockrell Hill-Dallas,2143309935,"$17,753",$654,$0,$0,$0,Yes,Yes,"7,015",0,0,0,"7,640",256,986,9,0,95,Yes,12,0,-1,0,0
Coldspring Area Public Library Inc,819,01/01/2021,12/31/2021,Coldspring,9366533104,"$28,964","$1,125","$1,500",$0,$0,Yes,Yes,"13,304",667,"2,006",344,"17,498","6,390","5,883","2,365","1,677","5,063",Yes,7,976,"17,000","1,903",51
Coleman Public Library,"8,100",10/01/2020,09/30/2021,Coleman,3256253043,"$1,06,023","$10,649","$2,913",$0,$0,Yes,Yes,"30,087","1,095","17,495","3,219","55,606","21,149","9,519","13,051","42,972","61,624",Yes,18,"12,232",-1,"1,499",45
Colleyville Public Library,"26,057",10/01/2020,09/30/2021,Colleyville,8175031150,"$7,89,657","$66,155","$71,817","$18,501","$18,501",Yes,Yes,"53,803","5,198","1,99,457","1,47,477","4,15,655","67,103","9,514","66,117","59,821","2,46,043",Yes,9,0,"92,256","2,455",52
Mitchell County Public Library,"8,202",01/01/2021,12/31/2021,Colorado City,3257283968,"$1,52,968","$13,807","$1,500",$0,"$1,11,213",Yes,Yes,"31,263",357,"16,530","3,219","53,554","8,883","5,014","4,621","1,390","8,817",Yes,10,960,"6,329","2,026",49
Nesbitt Memorial Library,"5,820",10/01/2020,09/30/2021,Columbus,9797323392,"$1,74,632","$17,393","$2,697","$60,617","$1,57,225",Yes,Yes,"29,340",763,"16,557","4,399","52,670","23,972","3,057","10,371","2,825","24,004",Yes,12,"2,098","15,095","1,602",48
Comanche Public Library,"8,913",10/01/2020,09/30/2021,Comanche,3253562122,"$1,18,437","$25,941","$1,000",$0,"$27,257",Yes,Yes,"20,389",177,"2,167",378,"23,112","6,953","3,867","3,790","2,274","7,774",Yes,5,"2,028",-1,"1,733",51
